timestamp,symbol,obi,interpretacion
2026-04-17 04:10:41,BNBUSDT,OBI:-0.0121,NEUTRAL
2026-04-17 04:15:42,BTCUSDT,OBI:0.0059,NEUTRAL
2026-04-17 04:15:42,ETHUSDT,OBI:-0.9975,FUERTEMENTE_VENTA
2026-04-17 04:15:42,SOLUSDT,OBI:-0.3444,FUERTEMENTE_VENTA
2026-04-17 04:15:43,BNBUSDT,OBI:-0.1354,VENTA
2026-04-17 04:20:43,BTCUSDT,OBI:-0.7725,FUERTEMENTE_VENTA
2026-04-17 04:20:44,ETHUSDT,OBI:0.9509,FUERTEMENTE_COMPRA
2026-04-17 04:20:45,SOLUSDT,OBI:-0.3268,FUERTEMENTE_VENTA
2026-04-17 04:20:46,BNBUSDT,OBI:0.54,FUERTEMENTE_COMPRA
2026-04-17 04:25:46,BTCUSDT,OBI:0.9986,FUERTEMENTE_COMPRA
2026-04-17 04:25:47,ETHUSDT,OBI:0.7904,FUERTEMENTE_COMPRA
2026-04-17 04:25:47,SOLUSDT,OBI:-0.0281,NEUTRAL
2026-04-17 04:25:47,BNBUSDT,OBI:0.3297,FUERTEMENTE_COMPRA
2026-04-17 04:30:48,BTCUSDT,OBI:0.6873,FUERTEMENTE_COMPRA
2026-04-17 04:30:48,ETHUSDT,OBI:0.2933,COMPRA
2026-04-17 04:30:48,SOLUSDT,OBI:0.0264,NEUTRAL
2026-04-17 04:30:48,BNBUSDT,OBI:-0.0302,NEUTRAL
2026-04-17 04:35:49,BTCUSDT,OBI:0.1619,COMPRA
2026-04-17 04:35:49,ETHUSDT,OBI:0.5406,FUERTEMENTE_COMPRA
2026-04-17 04:35:49,SOLUSDT,OBI:-0.1021,VENTA
2026-04-17 04:35:50,BNBUSDT,OBI:-0.2709,VENTA
2026-04-17 04:40:50,BTCUSDT,OBI:-0.4617,FUERTEMENTE_VENTA
2026-04-17 04:40:50,ETHUSDT,OBI:-0.8727,FUERTEMENTE_VENTA
2026-04-17 04:40:51,SOLUSDT,OBI:-0.0064,NEUTRAL
2026-04-17 04:40:51,BNBUSDT,OBI:0.4979,FUERTEMENTE_COMPRA
2026-04-17 04:45:52,BTCUSDT,OBI:0.2528,COMPRA
2026-04-17 04:45:52,ETHUSDT,OBI:0.4258,FUERTEMENTE_COMPRA
2026-04-17 04:45:52,SOLUSDT,OBI:0.0569,NEUTRAL
2026-04-17 04:45:53,BNBUSDT,OBI:0.2895,COMPRA
2026-04-17 04:50:53,BTCUSDT,OBI:0.6256,FUERTEMENTE_COMPRA
2026-04-17 04:50:54,ETHUSDT,OBI:-0.1032,VENTA
2026-04-17 04:50:54,SOLUSDT,OBI:-0.0462,NEUTRAL
2026-04-17 04:50:54,BNBUSDT,OBI:0.3754,FUERTEMENTE_COMPRA
2026-04-17 04:55:55,BTCUSDT,OBI:-0.9699,FUERTEMENTE_VENTA
2026-04-17 04:55:55,ETHUSDT,OBI:0.5914,FUERTEMENTE_COMPRA
2026-04-17 04:55:55,SOLUSDT,OBI:-0.0277,NEUTRAL
2026-04-17 04:55:56,BNBUSDT,OBI:0.2821,COMPRA
2026-04-17 05:00:57,BTCUSDT,OBI:-0.7874,FUERTEMENTE_VENTA
2026-04-17 05:00:57,ETHUSDT,OBI:-0.6902,FUERTEMENTE_VENTA
2026-04-17 05:00:57,SOLUSDT,OBI:-0.2004,VENTA
2026-04-17 05:00:58,BNBUSDT,OBI:0.7809,FUERTEMENTE_COMPRA
2026-04-17 05:05:58,BTCUSDT,OBI:-0.0497,NEUTRAL
2026-04-17 05:05:58,ETHUSDT,OBI:-0.4472,FUERTEMENTE_VENTA
2026-04-17 05:05:59,SOLUSDT,OBI:-0.2064,VENTA
2026-04-17 05:05:59,BNBUSDT,OBI:-0.672,FUERTEMENTE_VENTA
2026-04-17 05:11:00,BTCUSDT,OBI:-0.6788,FUERTEMENTE_VENTA
2026-04-17 05:11:01,ETHUSDT,OBI:0.1244,COMPRA
2026-04-17 05:11:01,SOLUSDT,OBI:-0.2187,VENTA
2026-04-17 05:11:01,BNBUSDT,OBI:0.6089,FUERTEMENTE_COMPRA
2026-04-17 05:16:02,BTCUSDT,OBI:-0.8639,FUERTEMENTE_VENTA
2026-04-17 05:16:02,ETHUSDT,OBI:-0.6471,FUERTEMENTE_VENTA
2026-04-17 05:16:02,SOLUSDT,OBI:-0.069,NEUTRAL
2026-04-17 05:16:03,BNBUSDT,OBI:-0.0147,NEUTRAL
